Stars,Company,Words_Headline,Words_Comment
2,E.ON Energie Deutschland GmbH,6.0,9.0
5,E.ON Energie Deutschland GmbH,4.0,33.0
5,E.ON Energie Deutschland GmbH,6.0,39.0
5,E.ON Energie Deutschland GmbH,3.0,5.0
1,E.ON Energie Deutschland GmbH,5.0,18.0
3,E.ON Energie Deutschland GmbH,7.0,27.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,8.0
5,E.ON Energie Deutschland GmbH,2.0,6.0
5,E.ON Energie Deutschland GmbH,5.0,12.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
1,E.ON Energie Deutschland GmbH,7.0,22.0
5,E.ON Energie Deutschland GmbH,5.0,17.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
3,E.ON Energie Deutschland GmbH,7.0,30.0
4,E.ON Energie Deutschland GmbH,2.0,7.0
5,E.ON Energie Deutschland GmbH,2.0,3.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,44.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,8.0,22.0
5,E.ON Energie Deutschland GmbH,5.0,15.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
1,E.ON Energie Deutschland GmbH,1.0,3.0
1,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
1,E.ON Energie Deutschland GmbH,1.0,11.0
5,E.ON Energie Deutschland GmbH,2.0,3.0
4,E.ON Energie Deutschland GmbH,2.0,0.0
1,E.ON Energie Deutschland GmbH,4.0,102.0
1,E.ON Energie Deutschland GmbH,3.0,60.0
2,E.ON Energie Deutschland GmbH,1.0,35.0
4,E.ON Energie Deutschland GmbH,7.0,22.0
5,E.ON Energie Deutschland GmbH,8.0,28.0
3,E.ON Energie Deutschland GmbH,4.0,29.0
5,E.ON Energie Deutschland GmbH,1.0,9.0
5,E.ON Energie Deutschland GmbH,2.0,4.0
4,E.ON Energie Deutschland GmbH,2.0,4.0
3,E.ON Energie Deutschland GmbH,4.0,102.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,1.0,40.0
4,E.ON Energie Deutschland GmbH,5.0,50.0
5,E.ON Energie Deutschland GmbH,5.0,20.0
4,E.ON Energie Deutschland GmbH,5.0,8.0
4,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,17.0
5,E.ON Energie Deutschland GmbH,1.0,4.0
4,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,14.0
5,E.ON Energie Deutschland GmbH,8.0,16.0
4,E.ON Energie Deutschland GmbH,10.0,102.0
5,E.ON Energie Deutschland GmbH,2.0,5.0
1,E.ON Energie Deutschland GmbH,8.0,48.0
5,E.ON Energie Deutschland GmbH,4.0,12.0
5,E.ON Energie Deutschland GmbH,2.0,6.0
5,E.ON Energie Deutschland GmbH,4.0,5.0
5,E.ON Energie Deutschland GmbH,7.0,9.0
5,E.ON Energie Deutschland GmbH,2.0,7.0
1,E.ON Energie Deutschland GmbH,6.0,9.0
2,E.ON Energie Deutschland GmbH,4.0,29.0
1,E.ON Energie Deutschland GmbH,5.0,60.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,8.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
4,E.ON Energie Deutschland GmbH,7.0,34.0
5,E.ON Energie Deutschland GmbH,5.0,17.0
4,E.ON Energie Deutschland GmbH,5.0,51.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,5.0
5,E.ON Energie Deutschland GmbH,5.0,7.0
5,E.ON Energie Deutschland GmbH,5.0,18.0
3,E.ON Energie Deutschland GmbH,5.0,6.0
1,E.ON Energie Deutschland GmbH,7.0,62.0
5,E.ON Energie Deutschland GmbH,2.0,8.0
1,E.ON Energie Deutschland GmbH,5.0,61.0
5,E.ON Energie Deutschland GmbH,4.0,13.0
5,E.ON Energie Deutschland GmbH,3.0,8.0
5,E.ON Energie Deutschland GmbH,6.0,13.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,9.0
1,E.ON Energie Deutschland GmbH,5.0,0.0
3,E.ON Energie Deutschland GmbH,4.0,18.0
2,E.ON Energie Deutschland GmbH,5.0,45.0
5,E.ON Energie Deutschland GmbH,7.0,10.0
5,E.ON Energie Deutschland GmbH,3.0,6.0
3,E.ON Energie Deutschland GmbH,5.0,11.0
5,E.ON Energie Deutschland GmbH,5.0,32.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,15.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,21.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,28.0
3,E.ON Energie Deutschland GmbH,7.0,27.0
5,E.ON Energie Deutschland GmbH,3.0,51.0
5,E.ON Energie Deutschland GmbH,2.0,11.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,1.0,3.0
5,E.ON Energie Deutschland GmbH,5.0,29.0
1,E.ON Energie Deutschland GmbH,2.0,13.0
5,E.ON Energie Deutschland GmbH,1.0,5.0
4,E.ON Energie Deutschland GmbH,1.0,3.0
5,E.ON Energie Deutschland GmbH,7.0,25.0
1,E.ON Energie Deutschland GmbH,7.0,102.0
5,E.ON Energie Deutschland GmbH,8.0,13.0
5,E.ON Energie Deutschland GmbH,6.0,7.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,1.0,24.0
4,E.ON Energie Deutschland GmbH,2.0,37.0
5,E.ON Energie Deutschland GmbH,2.0,21.0
4,E.ON Energie Deutschland GmbH,3.0,6.0
5,E.ON Energie Deutschland GmbH,2.0,3.0
5,E.ON Energie Deutschland GmbH,6.0,10.0
1,E.ON Energie Deutschland GmbH,6.0,13.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
1,E.ON Energie Deutschland GmbH,4.0,33.0
5,E.ON Energie Deutschland GmbH,1.0,12.0
5,E.ON Energie Deutschland GmbH,3.0,9.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
1,E.ON Energie Deutschland GmbH,5.0,53.0
5,E.ON Energie Deutschland GmbH,5.0,9.0
5,E.ON Energie Deutschland GmbH,4.0,30.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
3,E.ON Energie Deutschland GmbH,10.0,41.0
5,E.ON Energie Deutschland GmbH,4.0,19.0
1,E.ON Energie Deutschland GmbH,6.0,29.0
5,E.ON Energie Deutschland GmbH,3.0,9.0
3,E.ON Energie Deutschland GmbH,7.0,32.0
4,E.ON Energie Deutschland GmbH,6.0,26.0
1,E.ON Energie Deutschland GmbH,7.0,102.0
5,E.ON Energie Deutschland GmbH,4.0,7.0
1,E.ON Energie Deutschland GmbH,3.0,44.0
5,E.ON Energie Deutschland GmbH,2.0,15.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
4,E.ON Energie Deutschland GmbH,5.0,5.0
5,E.ON Energie Deutschland GmbH,2.0,5.0
5,E.ON Energie Deutschland GmbH,1.0,29.0
1,E.ON Energie Deutschland GmbH,4.0,61.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,1.0,17.0
3,E.ON Energie Deutschland GmbH,3.0,43.0
5,E.ON Energie Deutschland GmbH,6.0,16.0
5,E.ON Energie Deutschland GmbH,3.0,4.0
1,E.ON Energie Deutschland GmbH,8.0,22.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,36.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,17.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,3.0
5,E.ON Energie Deutschland GmbH,3.0,16.0
1,E.ON Energie Deutschland GmbH,1.0,65.0
5,E.ON Energie Deutschland GmbH,6.0,21.0
5,E.ON Energie Deutschland GmbH,2.0,14.0
2,E.ON Energie Deutschland GmbH,1.0,36.0
5,E.ON Energie Deutschland GmbH,5.0,10.0
5,E.ON Energie Deutschland GmbH,3.0,6.0
5,E.ON Energie Deutschland GmbH,1.0,5.0
4,E.ON Energie Deutschland GmbH,4.0,21.0
1,E.ON Energie Deutschland GmbH,1.0,60.0
3,E.ON Energie Deutschland GmbH,5.0,34.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
1,E.ON Energie Deutschland GmbH,9.0,28.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
3,E.ON Energie Deutschland GmbH,5.0,63.0
5,E.ON Energie Deutschland GmbH,1.0,5.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
1,E.ON Energie Deutschland GmbH,6.0,34.0
5,E.ON Energie Deutschland GmbH,1.0,6.0
5,E.ON Energie Deutschland GmbH,2.0,9.0
1,E.ON Energie Deutschland GmbH,2.0,102.0
5,E.ON Energie Deutschland GmbH,3.0,8.0
5,E.ON Energie Deutschland GmbH,7.0,0.0
4,E.ON Energie Deutschland GmbH,2.0,17.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,3.0
5,E.ON Energie Deutschland GmbH,6.0,8.0
5,E.ON Energie Deutschland GmbH,3.0,7.0
1,E.ON Energie Deutschland GmbH,4.0,39.0
1,E.ON Energie Deutschland GmbH,5.0,6.0
5,E.ON Energie Deutschland GmbH,1.0,1.0
3,E.ON Energie Deutschland GmbH,2.0,54.0
5,E.ON Energie Deutschland GmbH,5.0,12.0
5,E.ON Energie Deutschland GmbH,2.0,3.0
3,E.ON Energie Deutschland GmbH,10.0,50.0
5,E.ON Energie Deutschland GmbH,4.0,9.0
5,E.ON Energie Deutschland GmbH,6.0,58.0
5,E.ON Energie Deutschland GmbH,6.0,31.0
5,E.ON Energie Deutschland GmbH,1.0,37.0
4,E.ON Energie Deutschland GmbH,5.0,20.0
5,E.ON Energie Deutschland GmbH,5.0,19.0
5,E.ON Energie Deutschland GmbH,6.0,22.0
5,E.ON Energie Deutschland GmbH,4.0,3.0
1,E.ON Energie Deutschland GmbH,5.0,33.0
5,E.ON Energie Deutschland GmbH,7.0,11.0
5,E.ON Energie Deutschland GmbH,3.0,12.0
5,E.ON Energie Deutschland GmbH,4.0,21.0
5,E.ON Energie Deutschland GmbH,4.0,6.0
5,E.ON Energie Deutschland GmbH,2.0,5.0
5,E.ON Energie Deutschland GmbH,1.0,6.0
5,E.ON Energie Deutschland GmbH,6.0,9.0
5,E.ON Energie Deutschland GmbH,7.0,10.0
1,E.ON Energie Deutschland GmbH,10.0,102.0
1,E.ON Energie Deutschland GmbH,1.0,102.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
1,E.ON Energie Deutschland GmbH,2.0,69.0
5,E.ON Energie Deutschland GmbH,3.0,4.0
3,E.ON Energie Deutschland GmbH,4.0,9.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
5,E.ON Energie Deutschland GmbH,1.0,9.0
5,E.ON Energie Deutschland GmbH,5.0,12.0
4,E.ON Energie Deutschland GmbH,6.0,52.0
4,E.ON Energie Deutschland GmbH,5.0,14.0
5,E.ON Energie Deutschland GmbH,1.0,7.0
1,E.ON Energie Deutschland GmbH,5.0,67.0
5,E.ON Energie Deutschland GmbH,3.0,14.0
1,E.ON Energie Deutschland GmbH,5.0,102.0
5,E.ON Energie Deutschland GmbH,4.0,10.0
1,E.ON Energie Deutschland GmbH,5.0,37.0
1,E.ON Energie Deutschland GmbH,2.0,21.0
4,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
5,E.ON Energie Deutschland GmbH,6.0,56.0
3,E.ON Energie Deutschland GmbH,6.0,102.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
4,E.ON Energie Deutschland GmbH,5.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,9.0
1,E.ON Energie Deutschland GmbH,5.0,8.0
4,E.ON Energie Deutschland GmbH,1.0,3.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
1,E.ON Energie Deutschland GmbH,5.0,67.0
5,E.ON Energie Deutschland GmbH,5.0,8.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
1,E.ON Energie Deutschland GmbH,8.0,27.0
4,E.ON Energie Deutschland GmbH,5.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,7.0,10.0
4,E.ON Energie Deutschland GmbH,2.0,12.0
4,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,6.0
5,E.ON Energie Deutschland GmbH,1.0,3.0
5,E.ON Energie Deutschland GmbH,4.0,6.0
3,E.ON Energie Deutschland GmbH,4.0,22.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
1,E.ON Energie Deutschland GmbH,4.0,8.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,6.0
4,E.ON Energie Deutschland GmbH,3.0,62.0
5,E.ON Energie Deutschland GmbH,3.0,2.0
4,E.ON Energie Deutschland GmbH,1.0,10.0
5,E.ON Energie Deutschland GmbH,3.0,5.0
4,E.ON Energie Deutschland GmbH,1.0,3.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,4.0
5,E.ON Energie Deutschland GmbH,1.0,3.0
4,E.ON Energie Deutschland GmbH,5.0,14.0
4,E.ON Energie Deutschland GmbH,6.0,55.0
4,E.ON Energie Deutschland GmbH,2.0,6.0
4,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,14.0
5,E.ON Energie Deutschland GmbH,4.0,5.0
2,E.ON Energie Deutschland GmbH,4.0,18.0
5,E.ON Energie Deutschland GmbH,2.0,3.0
4,E.ON Energie Deutschland GmbH,4.0,8.0
5,E.ON Energie Deutschland GmbH,3.0,6.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,4.0
1,E.ON Energie Deutschland GmbH,4.0,94.0
5,E.ON Energie Deutschland GmbH,4.0,4.0
3,E.ON Energie Deutschland GmbH,6.0,24.0
2,E.ON Energie Deutschland GmbH,6.0,73.0
5,E.ON Energie Deutschland GmbH,3.0,30.0
5,E.ON Energie Deutschland GmbH,3.0,3.0
5,E.ON Energie Deutschland GmbH,5.0,14.0
2,E.ON Energie Deutschland GmbH,2.0,89.0
5,E.ON Energie Deutschland GmbH,10.0,4.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,1.0,5.0
5,E.ON Energie Deutschland GmbH,3.0,11.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,7.0,0.0
1,E.ON Energie Deutschland GmbH,4.0,102.0
5,E.ON Energie Deutschland GmbH,1.0,19.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
4,E.ON Energie Deutschland GmbH,4.0,22.0
1,E.ON Energie Deutschland GmbH,3.0,24.0
4,E.ON Energie Deutschland GmbH,4.0,0.0
3,E.ON Energie Deutschland GmbH,3.0,4.0
1,E.ON Energie Deutschland GmbH,2.0,25.0
5,E.ON Energie Deutschland GmbH,7.0,10.0
5,E.ON Energie Deutschland GmbH,6.0,39.0
5,E.ON Energie Deutschland GmbH,3.0,23.0
5,E.ON Energie Deutschland GmbH,1.0,10.0
3,E.ON Energie Deutschland GmbH,1.0,19.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
3,E.ON Energie Deutschland GmbH,6.0,13.0
5,E.ON Energie Deutschland GmbH,5.0,8.0
2,E.ON Energie Deutschland GmbH,7.0,14.0
5,E.ON Energie Deutschland GmbH,8.0,21.0
5,E.ON Energie Deutschland GmbH,2.0,4.0
5,E.ON Energie Deutschland GmbH,5.0,8.0
5,E.ON Energie Deutschland GmbH,3.0,16.0
4,E.ON Energie Deutschland GmbH,1.0,14.0
5,E.ON Energie Deutschland GmbH,2.0,16.0
3,E.ON Energie Deutschland GmbH,5.0,52.0
1,E.ON Energie Deutschland GmbH,4.0,22.0
2,E.ON Energie Deutschland GmbH,2.0,19.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,7.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,10.0
5,E.ON Energie Deutschland GmbH,8.0,17.0
5,E.ON Energie Deutschland GmbH,5.0,9.0
5,E.ON Energie Deutschland GmbH,1.0,2.0
5,E.ON Energie Deutschland GmbH,4.0,5.0
5,E.ON Energie Deutschland GmbH,4.0,4.0
5,E.ON Energie Deutschland GmbH,2.0,6.0
4,E.ON Energie Deutschland GmbH,1.0,42.0
5,E.ON Energie Deutschland GmbH,4.0,34.0
5,E.ON Energie Deutschland GmbH,4.0,32.0
3,E.ON Energie Deutschland GmbH,3.0,29.0
1,E.ON Energie Deutschland GmbH,5.0,26.0
1,E.ON Energie Deutschland GmbH,7.0,72.0
5,E.ON Energie Deutschland GmbH,3.0,6.0
5,E.ON Energie Deutschland GmbH,5.0,19.0
2,E.ON Energie Deutschland GmbH,2.0,102.0
4,E.ON Energie Deutschland GmbH,6.0,7.0
5,E.ON Energie Deutschland GmbH,7.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
4,E.ON Energie Deutschland GmbH,6.0,21.0
5,E.ON Energie Deutschland GmbH,4.0,17.0
5,E.ON Energie Deutschland GmbH,5.0,7.0
5,E.ON Energie Deutschland GmbH,6.0,8.0
1,E.ON Energie Deutschland GmbH,3.0,4.0
1,E.ON Energie Deutschland GmbH,5.0,96.0
5,E.ON Energie Deutschland GmbH,2.0,9.0
1,E.ON Energie Deutschland GmbH,5.0,31.0
5,E.ON Energie Deutschland GmbH,1.0,17.0
5,E.ON Energie Deutschland GmbH,1.0,9.0
5,E.ON Energie Deutschland GmbH,1.0,13.0
5,E.ON Energie Deutschland GmbH,6.0,8.0
5,E.ON Energie Deutschland GmbH,2.0,4.0
4,E.ON Energie Deutschland GmbH,2.0,11.0
4,E.ON Energie Deutschland GmbH,3.0,20.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
2,E.ON Energie Deutschland GmbH,4.0,22.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,14.0
3,E.ON Energie Deutschland GmbH,3.0,58.0
1,E.ON Energie Deutschland GmbH,5.0,85.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,10.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,8.0,11.0
5,E.ON Energie Deutschland GmbH,6.0,11.0
5,E.ON Energie Deutschland GmbH,1.0,4.0
5,E.ON Energie Deutschland GmbH,4.0,7.0
5,E.ON Energie Deutschland GmbH,4.0,8.0
1,E.ON Energie Deutschland GmbH,6.0,102.0
1,E.ON Energie Deutschland GmbH,1.0,74.0
5,E.ON Energie Deutschland GmbH,4.0,19.0
5,E.ON Energie Deutschland GmbH,4.0,7.0
1,E.ON Energie Deutschland GmbH,1.0,58.0
5,E.ON Energie Deutschland GmbH,5.0,17.0
4,E.ON Energie Deutschland GmbH,2.0,12.0
1,E.ON Energie Deutschland GmbH,6.0,18.0
1,E.ON Energie Deutschland GmbH,2.0,54.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
1,E.ON Energie Deutschland GmbH,4.0,102.0
5,E.ON Energie Deutschland GmbH,1.0,4.0
4,E.ON Energie Deutschland GmbH,2.0,3.0
1,E.ON Energie Deutschland GmbH,6.0,20.0
5,E.ON Energie Deutschland GmbH,5.0,7.0
5,E.ON Energie Deutschland GmbH,2.0,4.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
5,E.ON Energie Deutschland GmbH,6.0,43.0
3,E.ON Energie Deutschland GmbH,5.0,100.0
5,E.ON Energie Deutschland GmbH,6.0,47.0
5,E.ON Energie Deutschland GmbH,1.0,17.0
5,E.ON Energie Deutschland GmbH,7.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,11.0
5,E.ON Energie Deutschland GmbH,1.0,2.0
1,E.ON Energie Deutschland GmbH,3.0,99.0
5,E.ON Energie Deutschland GmbH,6.0,25.0
1,E.ON Energie Deutschland GmbH,7.0,9.0
1,E.ON Energie Deutschland GmbH,2.0,102.0
5,E.ON Energie Deutschland GmbH,3.0,70.0
5,E.ON Energie Deutschland GmbH,7.0,16.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
4,E.ON Energie Deutschland GmbH,5.0,21.0
5,E.ON Energie Deutschland GmbH,4.0,4.0
4,E.ON Energie Deutschland GmbH,2.0,20.0
5,E.ON Energie Deutschland GmbH,6.0,22.0
1,E.ON Energie Deutschland GmbH,8.0,46.0
5,E.ON Energie Deutschland GmbH,2.0,8.0
1,E.ON Energie Deutschland GmbH,4.0,35.0
5,E.ON Energie Deutschland GmbH,6.0,17.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
5,E.ON Energie Deutschland GmbH,4.0,9.0
3,E.ON Energie Deutschland GmbH,5.0,9.0
4,E.ON Energie Deutschland GmbH,6.0,7.0
4,E.ON Energie Deutschland GmbH,6.0,12.0
5,E.ON Energie Deutschland GmbH,1.0,6.0
5,E.ON Energie Deutschland GmbH,1.0,11.0
5,E.ON Energie Deutschland GmbH,3.0,42.0
5,E.ON Energie Deutschland GmbH,2.0,10.0
4,E.ON Energie Deutschland GmbH,3.0,0.0
1,E.ON Energie Deutschland GmbH,1.0,7.0
4,E.ON Energie Deutschland GmbH,2.0,4.0
4,E.ON Energie Deutschland GmbH,6.0,13.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,1.0
5,E.ON Energie Deutschland GmbH,7.0,8.0
1,E.ON Energie Deutschland GmbH,7.0,68.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,38.0
3,E.ON Energie Deutschland GmbH,6.0,28.0
5,E.ON Energie Deutschland GmbH,4.0,32.0
5,E.ON Energie Deutschland GmbH,4.0,11.0
5,E.ON Energie Deutschland GmbH,6.0,7.0
1,E.ON Energie Deutschland GmbH,5.0,82.0
5,E.ON Energie Deutschland GmbH,4.0,13.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,1.0,3.0
3,E.ON Energie Deutschland GmbH,6.0,12.0
4,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,22.0
5,E.ON Energie Deutschland GmbH,2.0,7.0
5,E.ON Energie Deutschland GmbH,5.0,9.0
1,E.ON Energie Deutschland GmbH,10.0,102.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
4,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
2,E.ON Energie Deutschland GmbH,5.0,23.0
4,E.ON Energie Deutschland GmbH,2.0,18.0
5,E.ON Energie Deutschland GmbH,4.0,5.0
2,E.ON Energie Deutschland GmbH,5.0,22.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,3.0,40.0
1,E.ON Energie Deutschland GmbH,7.0,102.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
5,E.ON Energie Deutschland GmbH,3.0,6.0
1,E.ON Energie Deutschland GmbH,1.0,65.0
5,E.ON Energie Deutschland GmbH,2.0,7.0
1,E.ON Energie Deutschland GmbH,4.0,62.0
5,E.ON Energie Deutschland GmbH,2.0,11.0
1,E.ON Energie Deutschland GmbH,10.0,20.0
5,E.ON Energie Deutschland GmbH,1.0,49.0
1,E.ON Energie Deutschland GmbH,3.0,29.0
5,E.ON Energie Deutschland GmbH,3.0,9.0
4,E.ON Energie Deutschland GmbH,4.0,39.0
1,E.ON Energie Deutschland GmbH,2.0,92.0
5,E.ON Energie Deutschland GmbH,6.0,0.0
5,E.ON Energie Deutschland GmbH,1.0,2.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
5,E.ON Energie Deutschland GmbH,3.0,8.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
5,E.ON Energie Deutschland GmbH,3.0,15.0
5,E.ON Energie Deutschland GmbH,5.0,24.0
5,E.ON Energie Deutschland GmbH,2.0,7.0
5,E.ON Energie Deutschland GmbH,3.0,3.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
4,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,4.0,5.0
5,E.ON Energie Deutschland GmbH,1.0,10.0
5,E.ON Energie Deutschland GmbH,5.0,16.0
1,E.ON Energie Deutschland GmbH,7.0,11.0
5,E.ON Energie Deutschland GmbH,1.0,1.0
5,E.ON Energie Deutschland GmbH,2.0,4.0
5,E.ON Energie Deutschland GmbH,5.0,8.0
1,E.ON Energie Deutschland GmbH,8.0,10.0
4,E.ON Energie Deutschland GmbH,2.0,0.0
4,E.ON Energie Deutschland GmbH,3.0,16.0
5,E.ON Energie Deutschland GmbH,4.0,8.0
5,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,7.0,85.0
5,E.ON Energie Deutschland GmbH,4.0,0.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
3,E.ON Energie Deutschland GmbH,8.0,8.0
1,E.ON Energie Deutschland GmbH,3.0,0.0
5,E.ON Energie Deutschland GmbH,2.0,0.0
1,E.ON Energie Deutschland GmbH,7.0,102.0
5,E.ON Energie Deutschland GmbH,2.0,10.0
5,E.ON Energie Deutschland GmbH,4.0,11.0
1,E.ON Energie Deutschland GmbH,3.0,32.0
5,E.ON Energie Deutschland GmbH,4.0,5.0
5,E.ON Energie Deutschland GmbH,2.0,2.0
1,E.ON Energie Deutschland GmbH,3.0,79.0
5,E.ON Energie Deutschland GmbH,7.0,14.0
4,E.ON Energie Deutschland GmbH,10.0,31.0
5,E.ON Energie Deutschland GmbH,5.0,6.0
1,E.ON Energie Deutschland GmbH,3.0,54.0
5,E.ON Energie Deutschland GmbH,3.0,8.0
5,E.ON Energie Deutschland GmbH,3.0,4.0
5,E.ON Energie Deutschland GmbH,5.0,42.0
5,E.ON Energie Deutschland GmbH,6.0,7.0
5,E.ON Energie Deutschland GmbH,3.0,15.0
5,E.ON Energie Deutschland GmbH,5.0,0.0
1,E.ON Energie Deutschland GmbH,5.0,33.0
4,E.ON Energie Deutschland GmbH,3.0,18.0
1,E.ON Energie Deutschland GmbH,1.0,102.0
1,E.ON Energie Deutschland GmbH,7.0,11.0
